meta,Constituency name,Lab 2001,Con 2001,LD 2001,SNP 2001,PC 2001,2001 winner,2001 votes,2001 turnout,Lab 2005,Con 2005,LD 2005,SNP 2005,PC 2005,2005 winner,2005 votes,2005 turnout
168,Eastleigh,10426,16302,19360,,,2,47573,63.8,10238,18648,19216,,,2,49771,64.8
612,Eastwood,23036,13895,6239,4137,,0,48368,70.7,,,,,,,,
169,Eccles,21395,6867,4920,,,0,33182,48.3,19702,6816,6429,,,0,34632,50.2
170,Eddisbury,15988,20556,6975,,,1,44387,64.2,14986,21181,8182,,,1,45674,63.2
613,Edinburgh Central,14495,5643,6353,4832,,0,34390,52,,,,,,,,
681,Edinburgh East,,,,,,,,,15899,4093,9697,6760,,0,39709,61.3
614,Edinburgh East & Musselburgh,18124,3906,4981,5956,,0,34454,58.2,,,,,,,,
682,Edinburgh North & Leith,,,,,,,,,14597,7969,12444,4344,,0,42640,62.7
615,Edinburgh North & Leith,15271,4626,6454,5290,,0,33234,53.2,,,,,,,,
616,Edinburgh Pentlands,15797,14055,4210,4210,,0,38932,65.1,,,,,,,,
683,Edinburgh South,,,,,,,,,14183,10291,13783,2635,,0,42693,70
617,Edinburgh South,15671,6172,10172,3683,,0,37166,58.1,,,,,,,,
684,Edinburgh South West,,,,,,,,,17476,10234,9252,4654,,0,43926,65.4
685,Edinburgh West,,,,,,,,,8433,8817,22417,4124,,2,45265,68.9
618,Edinburgh West,9130,8894,16719,4047,,2,39478,63.8,,,,,,,,
171,Edmonton,20481,10709,2438,,,0,34774,55.8,18456,10381,4162,,,0,34703,59.1
172,Ellesmere Port & Neston,22964,12103,4828,,,0,41528,60.9,20371,13885,6607,,,0,42069,61.6
173,Elmet,22038,17867,5001,,,0,45937,65.6,22260,17732,5923,,,0,47146,68.8
174,Eltham,17855,10859,4121,,,0,33792,58.7,15381,12105,5669,,,0,35305,61.7
175,Enfield North,17888,15597,3355,,,0,38143,56.3,18055,16135,4642,,,0,40749,61.3
176,Enfield Southgate,21727,16181,2935,,,0,41908,63.1,17083,18830,4724,,,1,42210,66.4
177,Epping Forest,12407,20833,7884,,,1,42414,58.4,9425,23783,8279,,,1,43960,60.4
178,Epsom & Ewell,12350,22430,10316,,,1,46643,62.8,10265,27146,10699,,,1,49879,66.1
179,Erewash,23915,16983,5586,,,0,48596,61.9,22472,15388,7073,,,0,50553,64.5
180,Erith & Thamesmead,19769,8602,3800,,,0,33351,50.2,20483,8983,5088,,,0,37651,52.3
181,Esher & Walton,10758,22296,10241,,,1,45531,61.9,9309,21882,14155,,,1,47878,62.2
182,Essex North,14139,21325,7867,,,1,44944,62.7,11908,22811,9831,,,1,47959,65.7
183,Exeter,26194,14435,6512,,,0,52616,64.2,22619,14954,11340,,,0,55068,64.8
686,Falkirk,,,,,,,,,23264,4538,7321,9789,,0,45750,59.6
619,Falkirk East,18536,3252,2992,7824,,0,33702,58.5,,,,,,,,
620,Falkirk West,16022,2321,2203,7490,,0,30891,57.7,,,,,,,,
184,Falmouth & Camborne,18532,14005,11453,,,0,46820,64.3,14861,12644,16747,,,2,48015,67.1
185,Fareham,14380,21389,8503,,,1,45447,62.5,12449,24151,10551,,,1,48576,66.9
186,Faversham & Mid Kent,14556,18739,5529,,,1,41051,60.4,12970,21690,7204,,,1,43626,65.7
187,Feltham & Heston,21406,8749,4998,,,0,36177,49.4,17741,10921,6177,,,0,37282,49.5
621,Fife Central,18310,2351,2775,8235,,0,32512,54.6,,,,,,,,
622,Fife North East,3950,8190,17926,3596,,2,34692,56,,,,,,,,
188,Finchley & Golders Green,20205,16489,5266,,,0,43675,57.3,17487,16746,7282,,,0,43214,61.9
189,Folkestone & Hythe,9260,20645,14738,,,1,45855,64.1,6053,26161,14481,,,1,48503,68.4
190,Forest of Dean,19350,17301,5762,,,0,44607,67.3,17425,19474,8185,,,1,47640,70.9
191,Fylde,13773,23383,6599,,,1,44737,62,11828,24287,7748,,,1,45510,60.1
192,Gainsborough,11484,19555,11280,,,1,42319,64.2,11744,20040,12037,,,1,45681,64.6
623,Galloway & Upper Nithsdale,7258,12222,3698,12148,,1,35914,68.1,,,,,,,,
193,Gateshead East & Washington West,22903,4970,4999,,,0,33615,52.5,20997,4812,7590,,,0,34668,56.4
194,Gedling,22383,16785,4648,,,0,43816,63.9,20329,16518,6070,,,0,44069,63.9
195,Gillingham,18782,16510,5755,,,0,42212,59.5,18621,18367,6734,,,0,45167,62.5
624,Glasgow Anniesland,15102,2651,3244,4048,,0,26722,50.1,,,,,,,,
625,Glasgow Baillieston,14200,1580,1551,4361,,0,23261,47.2,,,,,,,,
626,Glasgow Cathcart,14902,3662,3006,4086,,0,27386,52.6,,,,,,,,
687,Glasgow Central,,,,,,,,,13518,1757,4987,4148,,0,28037,43.8
688,Glasgow East,,,,,,,,,18775,2135,3665,5268,,0,30939,48.2
627,Glasgow Govan,12464,2167,2815,6064,,0,25284,46.8,,,,,,,,
628,Glasgow Kelvin,12014,2388,4754,4513,,0,26802,43.6,,,,,,,,
629,Glasgow Maryhill,13420,1162,2372,3532,,0,22231,40.1,,,,,,,,
689,Glasgow North,,,,,,,,,11001,2441,7663,3614,,0,27921,50.4
690,Glasgow North East,,,,,,,,,,,,5019,,6,28418,45.8
691,Glasgow North West,,,,,,,,,16748,3262,6655,4676,,0,34061,55
630,Glasgow Pollok,15497,1417,1612,4229,,0,25277,51.4,,,,,,,,
631,Glasgow Rutherglen,16760,3301,3689,4135,,0,29213,56.3,,,,,,,,
632,Glasgow Shettleston,13235,1082,1105,3417,,0,20465,39.7,,,,,,,,
692,Glasgow South,,,,,,,,,18153,4836,7321,4860,,0,38431,55.8
693,Glasgow South West,,,,,,,,,18653,1786,3593,4757,,0,30977,50
633,Glasgow Springburn, , , ,4675,,6,24104,43.7,,,,,,,,
694,Glenrothes,,,,,,,,,19395,2651,4728,8731,,0,37366,56.1
196,Gloucester,22067,18187,6875,,,0,48223,59.4,23138,18867,7825,,,0,51803,62.8
695,Gordon,,,,,,,,,8982,7842,20008,7098,,2,44438,61.8
634,Gordon,4730,8049,15928,5760,,2,35001,58.3,,,,,,,,
197,Gosport,14743,17364,6011,,,1,39789,57.1,13538,19268,7145,,,1,43034,60.5
549,Gower,17676,10281,4507,,3865,0,37353,63.4,16786,10083,7291,,3089,0,39542,64.9
198,Grantham & Stamford,16811,21329,6665,,,1,46289,62.2,14664,22109,7838,,,1,47147,63.6
199,Gravesham,21773,16911,4031,,,0,43639,62.7,19085,19739,4851,,,1,45179,65.8
200,Great Grimsby,19118,7634,6265,,,0,33017,52.3,15512,7858,6356,,,0,32964,51.7
201,Great Yarmouth,20344,15780,3392,,,0,40366,58.4,18850,15795,4585,,,0,41378,60.1
635,Greenock & Inverclyde,14929,3000,5039,4248,,0,28419,59.3,,,,,,,,
202,Greenwich & Woolwich,19691,6258,5082,,,0,32536,52,17527,7142,7381,,,0,35615,55.6
203,Guildford,6558,19820,20358,,,2,47842,62.9,5054,22595,22248,,,1,51631,68.3
204,Hackney North & Stoke Newington,18081,4430,4170,,,0,29621,49,14268,4218,6841,,,0,29380,49.6
205,Hackney South & Shoreditch,19471,4180,4422,,,0,30347,47.4,17048,4524,6844,,,0,32237,49.7
206,Halesowen & Rowley Regis,20804,13445,4089,,,0,39274,59.8,19243,14906,5204,,,0,41327,62.9
207,Halifax,19800,13671,5878,,,0,40390,57.8,16579,13162,7100,,,0,39659,61.1
208,Haltemprice & Howden,6898,18994,17091,,,1,43928,65.5,6104,22792,17676,,,1,48029,70.1
209,Halton,23841,6413,4216,,,0,34470,54.1,21460,6854,5869,,,0,34183,53.1
636,Hamilton North & Bellshill,18786,2649,2360,5225,,0,30404,56.8,,,,,,,,
637,Hamilton South,15965,1876,2381,5190,,0,26750,57.3,,,,,,,,
210,Hammersmith & Fulham,19801,17786,5294,,,0,44700,56.4,17378,22407,7116,,,1,49327,62.4
211,Hampshire East,9866,23950,15060,,,1,50289,63.8,8519,24273,18764,,,1,53139,66.9
212,Hampshire North East,8744,23379,10122,,,1,43947,61.6,7630,25407,12858,,,1,47287,64.8
213,Hampshire North West,12365,24374,10329,,,1,48631,63.7,10594,26005,12741,,,1,51265,64.3
214,Hampstead & Highgate,16601,8725,7273,,,0,35407,54.2,14615,10886,10293,,,0,38173,55.5
215,Harborough,9271,20748,15496,,,1,46427,63.3,9222,20536,16644,,,1,47922,64.3
216,Harlow,19169,13941,5381,,,0,40115,59.8,16453,16356,5002,,,0,39733,62.6
217,Harrogate & Knaresborough,3101,14600,23445,,,2,42179,64.7,3627,13684,24113,,,2,42858,65.3
218,Harrow East,26590,15466,6021,,,0,48077,58.9,23445,18715,7747,,,0,50823,60.5
219,Harrow West,23142,16986,5995,,,0,46648,63.5,20298,18270,8188,,,0,47759,64.3
220,Hartlepool,22506,7935,5717,,,0,38051,56.2,18251,4058,10773,,,0,35436,51.5
221,Harwich,21951,19355,4099,,,0,48115,62.1,20315,21235,5913,,,1,50408,62.6
222,Hastings & Rye,19402,15094,4266,,,0,41218,58.4,18107,16081,6479,,,0,43004,67.8
223,Havant,13562,17769,7508,,,1,40437,57.6,11862,18370,8358,,,1,41351,60.3
224,Hayes & Harlington,21279,7813,1958,,,0,32403,56.3,19009,8162,3174,,,0,32389,56.3
225,Hazel Grove,6230,11585,20020,,,2,38478,59.1,6834,11607,19355,,,2,39117,60.8
226,Hemel Hempstead,21389,17647,5877,,,0,45883,63.7,18501,19000,8089,,,1,47108,64.4
227,Hemsworth,23036,7400,3990,,,0,35227,51.8,21630,8149,5766,,,0,36792,54.6
228,Hendon,21432,14015,4724,,,0,40851,52.2,18596,15897,5831,,,0,41839,58.3
229,Henley,9367,20466,12008,,,1,44401,64.3,6862,24894,12101,,,1,46537,67.9
230,Hereford,6739,17276,18244,,,2,44624,63.5,4800,19323,20285,,,2,46894,65.3
231,Hertford & Stortford,15471,21074,9388,,,1,47176,62.8,11977,25074,9129,,,1,49692,67.7
232,Hertfordshire North East,16251,19695,7686,,,1,44645,64.9,13264,22402,10147,,,1,47374,65.6
233,Hertfordshire South West,12752,20933,12431,,,1,47269,64.4,10466,23494,15021,,,1,50088,68.5
234,Hertsmere,14953,19855,6300,,,1,41505,60.3,11572,22665,7817,,,1,42572,63
235,Hexham,16388,18917,6380,,,1,42413,70.9,12585,17605,10673,,,1,41513,68.8
236,Heywood & Middleton,22377,10707,4329,,,0,38779,53.1,19438,8355,7261,,,0,39053,54.6
237,High Peak,22430,17941,7743,,,0,48114,65.2,19809,19074,10000,,,0,49989,66.4
238,Hitchin & Harpenden,14608,21271,8076,,,1,44924,66.9,10499,23627,12234,,,1,47387,70.5
239,Holborn & St Pancras,16770,5258,5595,,,0,31129,49.6,14857,6482,10070,,,0,34359,50.4
240,Hornchurch,16514,15032,2928,,,0,35557,58.3,15875,16355,2894,,,1,38169,63.9
241,Hornsey & Wood Green,21967,6921,11353,,,0,44063,58,18117,6014,20512,,,2,47330,61.8
242,Horsham,10267,26134,12468,,,1,50770,63.8,9320,27240,14613,,,1,54495,67.3
243,Houghton & Washington East,24628,4810,4203,,,0,33641,49.5,22310,4772,6245,,,0,34694,51.7
244,Hove,19253,16082,3823,,,0,41988,59.2,16786,16366,8002,,,0,44796,64.1
245,Huddersfield,18840,8794,5300,,,0,35383,55,16341,7597,7990,,,0,34940,56.6
246,Huntingdon,11211,24507,11715,,,1,49089,62.5,9821,26646,13799,,,1,52418,62.5
247,Hyndburn,20900,12681,3680,,,0,38243,57.6,18136,12549,5577,,,0,39449,58.8
248,Ilford North,18428,16313,4717,,,0,40234,58.4,17128,18781,5896,,,1,43000,60.8
249,Ilford South,24619,10622,4647,,,0,41295,54.3,20856,11628,8761,,,0,42693,53.6
696,Inverclyde,,,,,,,,,18318,3692,6123,7059,,0,36098,60.9
638,Inverness East Nairn & Lochaber,15605,5653,9420,10889,,0,42461,63.2,,,,,,,,
697,Inverness Nairn Badenoch & Strathspey,,,,,,,,,13682,4579,17830,5992,,2,44255,63.6
250,Ipswich,19952,11871,5904,,,0,38873,57,18336,13004,8464,,,0,41878,60.8
251,Isle of Wight,9676,25223,22397,,,1,63482,59.7,11484,32717,19739,,,1,66843,61.3
252,Islington North,18699,3249,5741,,,0,30216,48.8,16118,3740,9402,,,0,31494,53.9
253,Islington South & Finsbury,15217,3860,7937,,,0,28206,47.4,12345,4594,11861,,,0,30961,53.6
550,Islwyn,19505,2543,4196,,3767,0,31691,61.9,19687,3358,3873,,3947,0,30865,61
254,Jarrow,22777,5056,5182,,,0,34479,54.6,20554,4807,6650,,,0,33978,55
255,Keighley,20888,16883,4722,,,0,43333,63.4,20720,15868,5484,,,0,46312,67.9
256,Kensington & Chelsea,6499,15270,4416,,,1,28038,45.2,5521,18144,5726,,,1,31336,50
257,Kettering,24034,23369,5469,,,0,53752,67.4,22100,25401,6882,,,1,55646,68
698,Kilmarnock & Loudoun,,,,,,,,,20976,5026,4945,12273,,0,44383,60.9
639,Kilmarnock & Loudoun,19926,3943,3177,9592,,0,37665,61.7,,,,,,,,
258,Kingston & Surbiton,4302,13866,29542,,,2,49093,67.5,6553,16431,25397,,,2,49750,68.5
259,Kingston-upon-Hull East,19938,4276,4613,,,0,30875,46.4,17609,4138,5862,,,0,31122,47.6
260,Kingston-upon-Hull North,16364,4902,5643,,,0,28633,45.4,15364,3822,8013,,,0,29584,47.3
261,Kingston-upon-Hull West & Hessle,16880,5929,4364,,,0,28916,45.8,15305,5769,5855,,,0,27818,45.2
262,Kingswood,28903,14941,7747,,,0,52676,65.4,26491,18618,9089,,,0,56311,66.7
640,Kirkcaldy,15227,3013,2849,6264,,0,28157,54.6,,,,,,,,
699,Kirkcaldy & Cowdenbeath,,,,,,,,,24278,4308,5450,6062,,0,41796,58.4
263,Knowsley North & Sefton East,25035,6108,5173,,,0,37517,53,23461,5064,7192,,,0,37053,52.6
264,Knowsley South,26071,4250,4755,,,0,36590,51.8,24820,4492,7132,,,0,36444,51.5
700,Lanark & Hamilton East,,,,,,,,,20072,5576,8125,7746,,0,43589,59.1
265,Lancashire West,23404,13761,4966,,,0,42971,59,20746,14662,6059,,,0,43155,57.7
266,Lancaster & Wyre,22556,22075,5383,,,0,52350,66.3,18095,22266,8453,,,1,52061,64.5
267,Leeds Central,18277,3896,3607,,,0,27306,41.7,17526,3865,5660,,,0,29186,46.4
268,Leeds East,18290,5647,3923,,,0,29055,51.5,17799,5587,6221,,,0,30107,55
269,Leeds North East,19540,12451,6325,,,0,39773,62,18632,13370,8427,,,0,41467,65.5
270,Leeds North West,17794,12558,11431,,,0,42451,58.2,14735,11510,16612,,,2,44711,62.4
271,Leeds West,19943,5008,3350,,,0,32094,50,18704,4807,5894,,,0,33719,53.6
272,Leicester East,23402,9960,4989,,,0,40661,62.1,24015,8139,7052,,,0,41306,62.2
273,Leicester South,22958,9715,7243,,,0,42142,58,16688,7549,12971,,,0,42411,58.7
274,Leicester West,18014,8375,5085,,,0,33219,50.9,17184,8114,5803,,,0,33224,53.3
275,Leicestershire North West,23431,15274,4651,,,0,45009,65.8,21449,16972,5682,,,0,47140,66.8
276,Leigh,22783,6421,4524,,,0,35298,49.7,23097,5825,4962,,,0,36484,50.3
277,Leominster,7872,22879,12512,,,1,46729,68,7424,25407,12220,,,1,48793,77.3
278,Lewes,3317,15878,25588,,,2,45433,68.5,4169,15902,24376,,,2,46552,69.4
279,Lewisham Deptford,18915,3622,3409,,,0,29107,46.3,16902,3773,5091,,,0,30393,51.5
280,Lewisham East,16116,7157,4937,,,0,30040,51.5,14263,7512,6787,,,0,31127,52.6
281,Lewisham West,18816,6896,4146,,,0,30815,50.6,16611,6396,6679,,,0,31923,54.7
282,Leyton & Wanstead,19558,6654,5389,,,0,33718,54.8,15234,7393,8377,,,0,33272,55
283,Lichfield,16054,20480,4462,,,1,41680,65.3,14194,21274,6804,,,1,43744,66.7
284,Lincoln,20003,11583,4703,,,0,37125,56,16723,12110,6715,,,0,36856,56.5
641,Linlithgow,17207,2836,2628,8078,,0,31655,58,,,,,,,,
701,Linlithgow & East Falkirk,,,,,,,,,22121,5486,7100,10919,,0,46389,60.5
285,Liverpool Garston,20043,5059,7549,,,0,32651,50.2,18900,3424,11707,,,0,34974,54.9
286,Liverpool Riverside,18201,2142,4251,,,0,25503,34.1,17951,2843,7737,,,0,31191,41.5
287,Liverpool Walton,22143,1726,4147,,,0,28458,43,20322,1655,4365,,,0,27930,45
288,Liverpool Wavertree,20155,3091,7836,,,0,32138,44.3,18441,2331,13268,,,0,35171,50.8
289,Liverpool West Derby,20454,2486,3366,,,0,30907,45.5,19140,2567,3915,,,0,30464,47.2
702,Livingston,,,,,,,,,22657,4499,6832,9560,,0,44337,58.1
642,Livingston,19108,2995,3969,8492,,0,36033,55.6,,,,,,,,
551,Llanelli,17586,3442,3065,,11183,0,36198,62.3,16592,4844,4550,,9358,0,35344,63.5
290,Loughborough,22016,15638,5667,,,0,44254,63.2,19098,17102,8258,,,0,46140,63.8
291,Louth & Horncastle,13989,21543,8928,,,1,44460,62.1,11848,21744,9480,,,1,46683,62
292,Ludlow,5785,16990,18620,,,2,43124,68.4,4974,20979,18952,,,1,46540,72.1
293,Luton North,22187,12210,3795,,,0,39126,59.3,19062,12575,6081,,,0,39122,57.4
294,Luton South,21719,11586,4292,,,0,39351,57,16610,10960,8778,,,0,38918,54.1
295,Macclesfield,15084,22284,8217,,,1,45585,62.3,13227,22628,8918,,,1,45621,63.1
296,Maidenhead,6577,19506,16222,,,1,43318,63.6,4144,23312,17081,,,1,45850,71.7
297,Maidstone & the Weald,12303,22621,9064,,,1,45577,61.6,10814,25670,10808,,,1,48755,65.8
298,Makerfield,23879,6129,3990,,,0,34856,50.9,22494,4345,3789,,,0,35580,51.5
299,Maldon & Chelmsford East,13257,21719,7002,,,1,44100,63.7,11159,23732,9270,,,1,46091,66.3
302,Manchester Blackley,18285,3821,3015,,,0,26527,44.9,17187,3690,5160,,,0,27591,45.8
300,Manchester Central,17812,2328,4070,,,0,25928,39.1,16993,2504,7217,,,0,29264,42
301,Manchester Gorton,17099,2705,5795,,,0,27229,42.7,15480,2848,9672,,,0,29123,45
303,Manchester Withington,19239,5349,7715,,,0,35050,51.9,15205,3919,15872,,,2,37458,55.3
304,Mansfield,21050,10012,5790,,,0,36852,55.2,18400,7035,5316,,,0,38276,55.4
305,Medway,18914,15134,3604,,,0,38610,59.5,17333,17120,5152,,,0,41093,61.1
552,Meirionnydd Nant Conwy,4775,3962,1872,,10459,4,21068,63.5,3983,3402,2192,,10597,4,20640,61.7
306,Meriden,17462,21246,4941,,,1,44559,59.9,15407,22416,7113,,,1,46503,60.1
553,Merthyr Tydfil & Rhymney,19574,2272,2385,,4651,0,31684,57.2,18129,2680,4195,,2972,0,29976,54.9
307,Mid Bedfordshire,14043,22109,9205,,,1,46638,66.1,11351,23345,11990,,,1,50420,68.3
308,Mid Dorset & Poole North,6765,17974,18358,,,2,43718,65.6,5221,16518,22000,,,2,45159,68.5
309,Mid Norfolk,18957,23519,7621,,,1,52548,70.1,16004,23564,12988,,,1,54734,67
310,Mid Sussex,8693,21150,14252,,,1,45822,64.9,6280,23765,17875,,,1,49494,68.6
311,Mid Worcestershire,12310,22937,8420,,,1,44897,62.4,11456,24783,9796,,,1,48127,67.3
312,Middlesbrough,22783,6453,3512,,,0,33717,49.5,18562,5263,5995,,,0,32140,48.8
313,Middlesbrough South & Cleveland East,24321,14970,4700,,,0,43991,61.5,21945,13945,6049,,,0,43696,60.8
703,Midlothian,,,,,,,,,17153,3537,9888,6400,,0,37704,62.2
643,Midlothian,15145,2748,3686,6131,,0,28724,59.1,,,,,,,,
314,Milton Keynes North East,19761,17932,8375,,,0,47094,62.4,18009,19674,9789,,,1,50104,63.6
315,Milton Keynes South West,22484,15506,4828,,,0,45384,59.2,20862,16852,7909,,,0,49209,59.8
316,Mitcham & Morden,22936,9151,3820,,,0,37961,57.8,22489,9929,5583,,,0,39868,61.2
317,Mole Valley,7837,23790,13637,,,1,47072,69.5,5310,27060,15063,,,1,49415,72.5
554,Monmouth,19021,18637,5080,,1068,0,44462,71.5,16869,21396,5852,,993,1,45653,72.4
555,Montgomeryshire,3443,8085,14319,,1969,2,28983,65.5,3454,8246,15419,,2078,2,30097,64.4
704,Moray,,,,,,,,,7919,8520,7460,14196,,3,38793,58.4
644,Moray,8332,7677,5224,10076,,3,33223,57.3,,,,,,,,
318,Morecambe & Lunesdale,20646,15554,3817,,,0,41655,60.7,20331,15563,5741,,,0,41635,61.4
319,Morley & Rothwell,21919,9829,5446,,,0,38442,53.5,20570,8227,6819,,,0,42495,58.8
705,Motherwell & Wishaw,,,,,,,,,21327,3440,4464,6105,,0,37109,55.4
645,Motherwell & Wishaw,16681,3155,2791,5725,,0,29673,56.6,,,,,,,,
556,Neath,21253,3310,3335,,6437,0,35020,62.4,18835,4136,5112,,6125,0,35817,62.2
320,New Forest East,9141,17902,14073,,,1,42178,63.2,5492,21975,15424,,,1,45235,65.9
321,New Forest West,6481,24575,11384,,,1,44087,65,7590,26004,8719,,,1,46067,66.5
322,Newark,16910,20983,5970,,,1,45147,63.5,15482,21946,7276,,,1,45696,63.2
323,Newbury,3523,22092,24507,,,2,50807,67.3,3239,26771,23311,,,1,54673,72
324,Newcastle upon Tyne Central,19169,7414,7564,,,0,34870,51.3,16211,5749,12229,,,0,35920,52.5
325,Newcastle upon Tyne East & Wallsend,20642,3873,6419,,,0,32694,53.2,17462,3532,9897,,,0,31678,50.5
326,Newcastle upon Tyne North,21874,7424,7070,,,0,36368,57.5,19224,6022,12201,,,0,38444,67.6
327,Newcastle-under-Lyme,20650,10664,5993,,,0,38674,58.8,18053,9945,7528,,,0,39788,61.6
557,Newport East,17120,7246,4394,,1519,0,31282,55.7,14389,7459,7551,,1221,0,31825,57.9
558,Newport West,18489,9185,4095,,2510,0,35063,58.7,16021,10563,6398,,1278,0,35732,59.3
328,Norfolk North West,21361,24846,4292,,,1,51203,66.2,16291,25471,7026,,,1,50649,61.6
329,Norfolk South,13719,23589,16696,,,1,55929,67.6,13262,26399,17617,,,1,58974,68.7
330,Norfolk South West,18267,27633,5681,,,1,52949,63.1,15795,25881,10207,,,1,55127,62.5
331,Normanton,19152,9215,4990,,,0,34155,52.2,19161,9159,6357,,,0,37424,57.5
706,North Ayrshire & Arran,,,,,,,,,19417,8121,7264,7938,,0,44205,59.9
707,North East Fife,,,,,,,,,4920,7517,20088,4011,,2,38556,62.1
332,North Norfolk,7490,23495,23978,,,2,56220,70.2,5447,20909,31515,,,2,58965,73
